SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
114454.64+525216.9 3.4946 24.105 0.819 20.806 0.060 20.159 0.026 20.036 0.034 20.137 0.106  0.000 -9.000 -26.626
114454.86+554546.4 1.6646 19.736 0.041 19.457 0.023 19.486 0.024 19.324 0.026 19.163 0.050  0.000 -9.000 -25.635
114454.86+560238.2 0.2310 19.556 0.035 19.267 0.034 18.601 0.020 18.142 0.022 18.005 0.027  0.000 -1.540 -22.078
114454.99+543450.6 0.4337 17.711 0.021 17.479 0.019 17.684 0.016 17.621 0.015 17.314 0.022  0.000 -1.093 -24.100
114455.15+495210.9 1.9610 19.444 0.045 19.295 0.023 19.262 0.024 19.143 0.025 19.143 0.070  0.000 -9.000 -26.208
114455.78-002142.7 0.3510 18.669 0.025 18.593 0.031 18.478 0.023 18.436 0.029 18.121 0.034  0.000 -9.000 -22.795
114455.98+653404.0 1.8645 20.249 0.052 20.026 0.023 20.160 0.036 19.835 0.042 19.947 0.090 -1.000 -9.000 -25.384
114457.90+381415.9 0.3900 20.134 0.056 19.852 0.028 19.331 0.016 19.046 0.022 18.874 0.037  0.000 -9.000 -22.441
114458.95+321403.1 0.8019 20.168 0.063 19.815 0.023 19.753 0.024 19.749 0.033 19.599 0.097  0.000 -9.000 -23.480
114459.01+320505.8 1.6341 19.506 0.031 19.283 0.019 19.211 0.015 18.946 0.019 18.952 0.046  0.000 -9.000 -25.987
114459.64+403553.4 1.4462 20.067 0.051 20.001 0.034 19.787 0.036 19.624 0.027 19.713 0.067  0.000 -9.000 -25.007
114500.16+432845.2 1.8890 19.642 0.061 19.637 0.019 19.603 0.020 19.334 0.030 19.301 0.062 15.653 -9.000 -25.932
114500.22+113107.7 3.6605 24.776 1.362 22.035 0.119 20.163 0.041 20.077 0.035 19.954 0.093  0.000 -9.000 -26.702
114500.36+012223.9 2.8562 22.401 0.328 20.697 0.049 20.310 0.031 19.729 0.028 19.613 0.094  0.000 -9.000 -26.474
114500.79+100824.6 1.9143 19.738 0.043 19.561 0.022 19.136 0.020 18.799 0.019 18.644 0.046  0.000 -9.000 -26.585
114500.96+115201.0 1.6954 20.021 0.060 19.560 0.028 19.383 0.024 18.989 0.023 18.912 0.041 15.903 -9.000 -26.064
114501.14+021710.9 1.2489 19.379 0.030 19.298 0.018 19.073 0.016 19.105 0.025 19.149 0.059  0.000 -9.000 -25.209
114501.57+423648.9 0.4290 19.241 0.037 19.056 0.027 19.091 0.019 19.010 0.019 18.747 0.033  0.000 -9.000 -22.708
114502.06+370347.9 1.9083 19.884 0.043 19.749 0.027 19.743 0.024 19.545 0.024 19.457 0.058  0.000 -9.000 -25.748
114502.23+595720.0 1.6385 19.399 0.030 19.296 0.016 19.282 0.016 19.050 0.015 19.029 0.049  0.000 -9.000 -25.890
114502.78+644504.1 3.8444 25.335 0.759 21.628 0.051 20.445 0.032 20.333 0.038 20.421 0.174 -1.000 -9.000 -26.529
114502.90+645725.7 1.9675 19.268 0.032 19.277 0.030 19.177 0.021 18.980 0.018 18.803 0.046 -1.000 -9.000 -26.376
114502.93+135104.0 0.8372 18.058 0.023 17.847 0.027 17.707 0.012 17.742 0.025 17.589 0.023  0.000 -9.000 -25.647
114503.18+360701.0 1.6474 19.386 0.025 18.885 0.021 18.466 0.019 18.063 0.018 17.961 0.031  0.000 -9.000 -26.887
114503.48+535634.0 1.0507 18.874 0.035 18.582 0.015 18.177 0.014 18.153 0.022 18.097 0.025  0.000 -9.000 -25.713
114503.90+635902.6 2.2137 20.129 0.045 19.659 0.022 19.548 0.018 19.513 0.023 19.342 0.060  0.000 -9.000 -26.136
114504.95+624624.3 2.5225 17.716 0.020 17.196 0.021 17.145 0.024 17.089 0.018 16.988 0.020  0.000 -9.000 -28.830
114505.62+313815.2 1.7516 19.242 0.029 19.060 0.021 19.065 0.021 18.882 0.017 18.988 0.046  0.000 -9.000 -26.221
114505.82+012240.6 1.1360 18.053 0.014 17.956 0.036 17.737 0.016 17.713 0.014 17.720 0.023  0.000 -9.000 -26.356
114505.88+394951.5 1.9566 20.593 0.069 20.424 0.024 20.316 0.035 20.143 0.035 20.263 0.127  0.000 -9.000 -25.201
114506.45+034204.7 0.9717 17.770 0.018 17.549 0.019 17.299 0.019 17.242 0.018 17.062 0.020  0.000 -9.000 -26.457
114507.18+551329.7 1.6841 19.547 0.034 19.341 0.021 19.239 0.021 18.981 0.025 18.961 0.044  0.000 -9.000 -25.995
114507.22+664406.7 1.0566 19.095 0.027 18.988 0.020 18.870 0.018 18.963 0.016 18.909 0.047 -1.000 -9.000 -24.918
114507.58+481051.9 1.5811 19.469 0.031 19.198 0.022 18.912 0.020 18.692 0.016 18.766 0.037 14.260 -9.000 -26.174
114507.72+032818.5 1.0877 19.879 0.045 19.601 0.024 19.183 0.021 19.255 0.027 19.419 0.074  0.000 -9.000 -24.718
114507.84+140415.9 0.8436 18.916 0.025 18.639 0.019 18.558 0.024 18.650 0.017 18.485 0.036  0.000 -9.000 -24.755
114508.20+393431.0 1.4069 19.638 0.035 19.517 0.019 19.268 0.019 19.122 0.019 19.134 0.048  0.000 -9.000 -25.458
114508.83+441657.8 3.0170 20.658 0.071 18.266 0.016 17.937 0.014 17.831 0.014 17.814 0.023  0.000 -9.000 -28.499
114508.93+155143.7 1.1935 19.508 0.032 19.268 0.017 18.975 0.023 18.871 0.020 18.882 0.048  0.000 -9.000 -25.366
114509.16+384252.7 1.6373 20.344 0.047 20.181 0.026 20.222 0.027 19.937 0.035 20.042 0.095  0.000 -9.000 -25.003
114509.49+655346.5 0.3256 19.666 0.038 19.646 0.038 19.148 0.025 18.999 0.032 18.435 0.033 -1.000 -9.000 -22.030
114509.59+402947.4 2.0306 20.292 0.044 20.265 0.021 20.187 0.027 20.108 0.031 19.818 0.071  0.000 -9.000 -25.313
114509.73+534158.1 2.8225 23.080 0.536 20.507 0.039 20.233 0.029 19.354 0.022 19.100 0.051  0.000 -9.000 -26.807
114510.39+011056.2 0.6260 19.386 0.034 19.046 0.022 19.099 0.017 19.023 0.022 19.067 0.051 14.011 -1.582 -23.603
114510.63+012027.9 1.2156 19.112 0.023 19.064 0.037 18.762 0.017 18.687 0.017 18.809 0.048  0.000 -9.000 -25.542
114511.18-033950.1 0.3717 19.710 0.048 19.419 0.025 18.997 0.042 18.842 0.025 18.490 0.036  0.000 -9.000 -22.557
114511.54+650330.5 1.4604 19.612 0.038 19.466 0.031 19.252 0.022 19.040 0.018 19.024 0.052 -1.000 -9.000 -25.621
114512.16+121752.1 1.2339 19.023 0.038 18.882 0.024 18.579 0.020 18.612 0.021 18.840 0.042  0.000 -9.000 -25.690
114512.92+323827.0 1.1942 18.976 0.025 18.884 0.017 18.697 0.015 18.717 0.019 18.828 0.042  0.000 -9.000 -25.476
114513.28+331516.6 0.6748 18.902 0.023 18.622 0.019 18.685 0.026 18.630 0.022 18.679 0.042  0.000 -9.000 -24.178
114513.88+041709.0 0.3156 20.159 0.074 20.006 0.026 19.236 0.024 18.845 0.040 18.576 0.046  0.000 -9.000 -22.142
114514.05+520154.0 3.5659 23.023 0.404 20.669 0.031 19.286 0.029 18.906 0.019 18.606 0.037 16.327 -9.000 -27.784
114514.18+394715.9 4.0606 25.097 1.061 19.784 0.019 18.475 0.026 18.184 0.024 18.112 0.033  0.000 -9.000 -28.780
114514.51+545808.9 1.7562 19.724 0.039 19.491 0.019 19.343 0.030 19.010 0.020 19.083 0.062  0.000 -9.000 -26.067
114514.68+111957.9 0.7959 19.279 0.036 18.654 0.025 18.643 0.031 18.630 0.019 18.489 0.029  0.000 -9.000 -24.603
114515.63+135124.4 1.7557 18.739 0.025 18.741 0.028 18.694 0.014 18.456 0.025 18.452 0.029  0.000 -9.000 -26.701
114516.26+480401.3 0.2815 19.051 0.026 18.600 0.021 18.188 0.019 18.096 0.014 17.636 0.023  0.000 -9.000 -22.615
114516.70+555255.8 2.2445 19.666 0.038 19.225 0.023 19.156 0.023 19.098 0.025 18.895 0.043  0.000 -9.000 -26.557
114516.74+493259.3 1.1588 19.903 0.034 19.156 0.019 18.562 0.021 18.413 0.020 18.132 0.027 12.713 -9.000 -25.703
114517.64-022202.4 3.0957 21.246 0.122 18.931 0.022 18.750 0.019 18.607 0.021 18.498 0.041  0.000 -9.000 -27.777
114517.70+431431.9 0.8747 18.762 0.026 18.582 0.030 18.460 0.022 18.564 0.015 18.471 0.025  0.000 -9.000 -24.876
114517.82+330326.4 0.9382 19.135 0.031 18.979 0.023 18.695 0.020 18.651 0.018 18.521 0.037  0.000 -9.000 -24.956
114518.47+451601.4 0.6124 18.997 0.032 18.670 0.015 18.678 0.015 18.542 0.019 18.663 0.030  0.000 -9.000 -24.045
114519.90+402950.9 1.2817 18.761 0.022 18.483 0.015 18.228 0.020 18.193 0.014 18.204 0.025  0.000 -9.000 -26.151
114521.30+414630.9 1.5471 18.680 0.023 18.366 0.015 18.121 0.019 17.894 0.015 17.766 0.025  0.000 -9.000 -26.923
114521.32+045526.7 1.3425 19.525 0.026 19.444 0.028 18.951 0.014 18.879 0.019 18.859 0.033  9.812 -1.629 -25.594
114521.43+040042.2 0.6442 19.475 0.029 18.957 0.042 19.049 0.021 18.879 0.028 18.963 0.037  0.000 -9.000 -23.824
114521.82+392627.0 1.7424 19.202 0.025 18.941 0.027 18.976 0.024 18.860 0.018 18.996 0.041  0.000 -9.000 -26.226
114521.95+143314.0 1.7925 19.046 0.023 18.867 0.022 18.876 0.025 18.748 0.022 18.774 0.041  0.000 -9.000 -26.460
114522.37+472433.7 1.1815 18.973 0.024 18.721 0.026 18.432 0.015 18.439 0.024 18.454 0.042  0.000 -9.000 -25.732
114522.73+631946.0 1.5940 20.726 0.102 20.395 0.034 20.432 0.033 20.300 0.046 20.381 0.160  0.000 -9.000 -24.579
114522.79+614549.7 1.6746 19.102 0.027 19.044 0.015 18.999 0.015 18.778 0.020 18.816 0.043  0.000 -9.000 -26.218
114523.09+021141.8 1.8749 20.455 0.062 19.920 0.028 19.391 0.026 18.982 0.022 19.005 0.054  0.000 -9.000 -26.281
114523.21+462841.6 1.8046 18.851 0.021 18.610 0.014 18.541 0.020 18.287 0.022 18.201 0.032  0.000 -9.000 -26.886
114523.69+412454.3 1.4371 20.167 0.055 20.151 0.023 20.036 0.027 19.930 0.028 19.914 0.080  0.000 -9.000 -24.693
114523.89+363923.8 3.3605 24.038 1.168 20.558 0.035 20.236 0.027 20.097 0.033 19.886 0.079  0.000 -9.000 -26.465
114525.96+320442.3 1.7615 19.171 0.026 19.080 0.019 19.014 0.015 18.815 0.019 18.809 0.043  0.000 -9.000 -26.293
114526.21-023444.7 0.4444 18.486 0.020 18.245 0.016 18.301 0.016 18.214 0.016 18.105 0.027  0.000 -9.000 -23.584
114526.44+641722.5 0.8925 19.308 0.038 19.027 0.025 18.940 0.022 19.090 0.023 18.924 0.045 -1.000 -1.764 -24.399
114527.33+360232.8 2.6010 19.465 0.028 18.860 0.021 18.716 0.019 18.694 0.020 18.614 0.040  0.000 -9.000 -27.301
114527.39+031738.6 0.3506 18.664 0.026 18.645 0.019 18.616 0.019 18.601 0.021 18.077 0.028  0.000 -9.000 -22.629
114527.88+545151.3 3.0818 20.734 0.081 18.986 0.030 18.832 0.022 18.800 0.019 18.708 0.048  0.000 -9.000 -27.555
114527.91+074940.5 1.2755 19.286 0.032 19.249 0.021 18.966 0.025 19.015 0.019 19.183 0.054  0.000 -9.000 -25.337
114528.56-004739.0 0.7152 19.219 0.026 18.974 0.033 18.969 0.028 18.978 0.024 18.872 0.045  0.000 -9.000 -23.983
114529.01+551627.3 2.3078 19.652 0.035 19.000 0.020 18.824 0.019 18.733 0.024 18.604 0.035  0.000 -9.000 -26.970
114529.05+365712.6 3.0493 22.098 0.176 20.045 0.027 19.789 0.020 19.729 0.027 19.819 0.087  0.000 -9.000 -26.621
114529.35+572141.5 0.7184 20.766 0.098 20.454 0.035 20.448 0.039 20.341 0.048 20.097 0.154 14.898 -1.415 -22.606
114529.90+322438.6 1.9324 20.383 0.070 20.168 0.027 20.277 0.030 20.137 0.040 20.018 0.140  0.000 -9.000 -25.185
114530.21+331142.4 1.1152 18.746 0.023 18.716 0.016 18.489 0.017 18.526 0.021 18.704 0.044  0.000 -9.000 -25.499
114530.43-001159.3 1.7513 19.803 0.031 19.468 0.018 19.317 0.017 18.920 0.024 18.951 0.039  0.000 -9.000 -26.181
114530.59+365521.3 1.4991 19.299 0.029 19.067 0.024 18.932 0.015 18.858 0.020 18.853 0.042  0.000 -9.000 -25.872
114531.04+105818.3 1.6808 19.472 0.034 18.975 0.021 18.662 0.018 18.277 0.017 18.082 0.030  0.000 -9.000 -26.780
114531.27+064028.0 3.6040 24.430 1.058 21.223 0.043 20.222 0.030 19.986 0.028 20.074 0.084  0.000 -9.000 -26.739
114531.27+151726.7 0.8950 20.442 0.045 20.336 0.023 20.277 0.032 20.221 0.035 20.104 0.107  0.000 -9.000 -23.317
114532.12+585423.2 0.6584 18.836 0.024 18.630 0.035 18.697 0.016 18.586 0.020 18.565 0.044  0.000 -9.000 -24.164
114533.33+485614.7 0.8938 19.198 0.039 18.820 0.021 18.850 0.020 18.961 0.028 18.867 0.046  0.000 -9.000 -24.525
114533.66+031655.2 2.2335 19.810 0.037 19.224 0.020 19.080 0.020 18.830 0.022 18.507 0.036  0.000 -9.000 -26.828
114533.76+385647.2 2.2839 19.314 0.030 18.674 0.014 18.795 0.016 18.677 0.014 18.421 0.030  0.000 -9.000 -27.033
114533.86-000933.1 1.0437 19.407 0.028 19.167 0.021 18.821 0.017 18.946 0.028 19.040 0.039  0.000 -9.000 -24.928
114533.96+382522.8 2.1741 19.744 0.045 19.302 0.024 19.145 0.022 19.073 0.019 18.837 0.042  0.000 -9.000 -26.526
114534.12+010308.0 1.0759 19.673 0.035 19.196 0.025 18.781 0.020 18.720 0.022 18.654 0.036  0.000 -9.000 -25.220
114534.24+365229.8 1.2163 19.465 0.031 19.446 0.025 19.123 0.016 19.027 0.021 19.063 0.049 15.726 -9.000 -25.207
114534.27+493559.0 2.9840 20.541 0.050 18.862 0.023 18.501 0.023 18.379 0.021 18.145 0.026  0.000 -9.000 -27.917
114534.51-004338.6 1.7501 19.405 0.029 19.182 0.034 19.165 0.029 19.001 0.024 18.923 0.046 14.210 -9.000 -26.102
114535.11+322658.6 1.3589 18.980 0.027 18.899 0.021 18.775 0.017 18.755 0.019 18.839 0.053  0.000 -9.000 -25.744
114535.23+384833.4 1.0124 19.175 0.030 18.874 0.016 18.590 0.013 18.538 0.018 18.428 0.029 15.982 -9.000 -25.263
114535.66+402906.0 1.7057 19.571 0.032 19.552 0.024 19.603 0.024 19.429 0.026 19.453 0.054  0.000 -9.000 -25.591
114536.27+374927.4 2.1879 19.756 0.036 19.440 0.017 19.407 0.024 19.291 0.022 19.101 0.041  0.000 -9.000 -26.321
114536.48+323159.8 0.8358 19.956 0.044 19.650 0.023 19.562 0.020 19.516 0.025 19.272 0.069  0.000 -9.000 -23.816
114536.52+502311.3 1.3857 19.427 0.034 19.352 0.024 19.098 0.014 19.098 0.022 19.278 0.045  0.000 -9.000 -25.441
114537.21+360611.0 1.2372 18.467 0.021 18.380 0.027 18.183 0.015 18.190 0.016 18.223 0.028  0.000 -9.000 -26.084
114537.77+052225.0 0.3120 18.833 0.073 18.767 0.034 18.408 0.044 18.059 0.036 17.667 0.034  0.000 -1.418 -22.891
114537.97+335051.5 0.3587 19.604 0.030 19.397 0.022 18.929 0.019 18.791 0.018 18.455 0.029  0.000 -9.000 -22.485
114538.17-010010.5 0.8802 18.977 0.020 18.773 0.022 18.715 0.019 18.870 0.018 18.822 0.037  0.000 -9.000 -24.585
114538.56-011656.0 2.2511 19.295 0.026 18.723 0.020 18.709 0.013 18.656 0.016 18.419 0.034  0.000 -9.000 -27.009
114538.74+072148.4 3.1096 24.886 1.031 19.989 0.022 19.659 0.028 19.378 0.023 19.099 0.042  0.000 -9.000 -27.015
114539.61+065507.8 1.7806 18.822 0.026 18.695 0.023 18.732 0.021 18.535 0.017 18.537 0.030  0.000 -9.000 -26.595
114540.19+560805.2 1.6455 20.479 0.063 20.297 0.035 20.370 0.035 20.243 0.045 20.063 0.117  0.000 -9.000 -24.691
114541.20+582849.5 1.6658 20.365 0.059 20.196 0.032 20.137 0.031 19.942 0.041 19.837 0.095  0.000 -9.000 -25.019
114541.67+671227.5 0.5145 18.395 0.020 18.135 0.018 18.260 0.017 18.150 0.016 18.141 0.031 -1.000 -9.000 -23.985
114541.90+454545.0 1.0853 19.315 0.035 18.977 0.060 18.653 0.024 18.610 0.022 18.544 0.037  0.000 -9.000 -25.357
114542.15+012740.9 1.4326 19.468 0.030 19.495 0.022 19.218 0.020 19.053 0.021 19.052 0.057  0.000 -9.000 -25.568
114542.88+613448.3 2.0122 19.893 0.044 19.778 0.030 19.668 0.032 19.468 0.027 19.134 0.062  0.000 -9.000 -25.965
114543.21+431954.2 1.4399 19.552 0.035 19.365 0.030 19.074 0.023 18.939 0.016 19.072 0.038  0.000 -9.000 -25.694
114543.35+563328.5 0.6588 19.448 0.042 19.277 0.034 19.258 0.024 18.969 0.026 19.085 0.049  0.000 -9.000 -23.762
114543.70+470636.7 1.5508 19.532 0.032 19.362 0.031 19.337 0.028 19.142 0.025 19.362 0.074  0.000 -9.000 -25.672
114543.83+635220.1 1.9772 20.064 0.045 20.041 0.037 20.219 0.035 19.828 0.035 19.732 0.092  0.000 -9.000 -25.553
114543.84+650828.2 3.2665 26.428 0.492 20.153 0.034 19.935 0.028 19.888 0.030 20.109 0.132 -1.000 -9.000 -26.602
114544.11+153247.7 1.0580 19.461 0.033 19.117 0.018 18.660 0.017 18.581 0.018 18.496 0.027  0.000 -9.000 -25.371
114545.97+390949.0 1.1189 20.135 0.044 19.925 0.030 19.609 0.017 19.637 0.020 19.447 0.064  0.000 -9.000 -24.400
114546.22+032251.9 2.0080 19.517 0.039 19.332 0.025 19.225 0.018 19.061 0.023 18.856 0.045  0.000 -9.000 -26.356
114546.23+445902.9 1.5390 19.353 0.032 19.114 0.019 18.932 0.020 18.715 0.023 18.850 0.049  0.000 -9.000 -26.095
114546.94+370335.9 1.8841 19.767 0.036 19.604 0.021 19.426 0.021 19.135 0.023 19.023 0.045  0.000 -9.000 -26.128
114547.19+593132.8 1.4810 18.762 0.020 18.768 0.016 18.447 0.014 18.235 0.019 18.245 0.026 13.546 -9.000 -26.458
114547.36+011810.9 1.2844 19.222 0.028 19.186 0.024 18.973 0.021 18.940 0.023 19.024 0.055  0.000 -9.000 -25.422
114547.55-003106.7 2.0429 18.891 0.019 18.723 0.020 18.704 0.021 18.574 0.016 18.357 0.026  0.000 -9.000 -26.885
114548.38+393746.6 3.1047 20.833 0.064 18.306 0.017 17.937 0.017 17.747 0.015 17.636 0.025  0.000 -9.000 -28.642
114548.42+404651.6 1.7868 19.602 0.035 19.502 0.028 19.599 0.021 19.256 0.021 19.336 0.051  0.000 -9.000 -25.881
114548.51+565059.5 2.2970 20.001 0.049 19.567 0.027 19.525 0.026 19.554 0.032 19.533 0.083  0.000 -9.000 -26.140
114548.91+562327.2 1.5297 20.418 0.075 20.257 0.039 20.261 0.035 20.005 0.037 20.008 0.111  0.000 -9.000 -24.753
114549.57-020832.7 1.5874 19.977 0.035 19.388 0.013 19.224 0.023 19.013 0.019 18.990 0.053  0.000 -9.000 -25.857
114550.05+113459.5 1.9618 19.362 0.033 19.094 0.027 18.981 0.023 18.869 0.018 18.698 0.041  0.000 -9.000 -26.508
114550.26+031753.2 0.6866 19.490 0.032 19.013 0.020 19.106 0.021 18.960 0.023 18.948 0.050  0.000 -9.000 -23.900
114551.00+512246.5 0.8178 19.297 0.032 19.106 0.028 19.110 0.017 19.277 0.016 19.077 0.042  0.000 -9.000 -23.993
114551.18+634326.4 0.7404 19.436 0.030 19.063 0.033 18.988 0.026 19.061 0.025 18.862 0.056  0.000 -9.000 -23.982
114551.60+313349.3 0.6218 20.606 0.086 20.240 0.028 20.216 0.029 19.953 0.038 19.975 0.113  0.000 -9.000 -22.665
114551.66+012606.6 2.2780 18.685 0.024 18.272 0.019 18.282 0.017 18.244 0.017 18.085 0.031  0.000 -9.000 -27.454
114551.68+392045.1 1.4681 20.419 0.054 20.254 0.028 20.027 0.027 19.906 0.025 19.731 0.069  0.000 -9.000 -24.779
114552.18+620633.6 0.7477 17.261 0.015 17.024 0.026 17.031 0.021 17.027 0.014 16.945 0.024 -1.000 -9.000 -26.033
114552.29+444642.4 3.5020 24.129 1.347 20.862 0.042 20.069 0.024 19.873 0.029 19.751 0.085  0.000 -9.000 -26.783
114552.43+495113.9 2.9190 24.213 1.414 20.743 0.035 19.944 0.032 19.635 0.028 19.816 0.115  0.000 -9.000 -26.616
114552.89+052604.6 0.7033 19.628 0.049 19.316 0.027 19.127 0.030 18.920 0.038 18.739 0.056  0.000 -9.000 -23.991
114553.02+402211.9 1.5008 19.878 0.037 19.793 0.025 19.690 0.024 19.500 0.027 19.528 0.058  0.000 -9.000 -25.222
114553.63+061656.8 2.5286 19.381 0.026 18.794 0.018 18.738 0.016 18.718 0.030 18.411 0.028  0.000 -9.000 -27.228
114553.67-003304.5 2.0545 20.568 0.052 20.040 0.024 19.661 0.025 19.286 0.020 19.007 0.039 14.920 -9.000 -26.187
114553.88+522408.0 0.6599 19.868 0.040 19.333 0.020 19.165 0.019 19.038 0.018 18.851 0.044  0.000 -9.000 -23.714
114554.48+055346.3 2.3014 19.972 0.055 19.322 0.036 18.902 0.053 18.650 0.039 18.461 0.051  0.000 -9.000 -27.076
114556.12+512917.8 0.8809 19.312 0.033 19.004 0.027 18.964 0.017 19.145 0.016 19.028 0.041  0.000 -9.000 -24.305
114556.26+110018.4 0.9330 19.929 0.048 19.304 0.023 18.977 0.022 18.822 0.021 18.541 0.049  0.000 -9.000 -24.841
114557.02+543252.9 0.9723 19.641 0.043 19.230 0.028 18.950 0.015 18.920 0.018 18.717 0.038  0.000 -9.000 -24.762
114557.84+080029.0 2.3519 19.097 0.021 18.532 0.018 18.165 0.018 18.067 0.018 17.887 0.018  0.000 -9.000 -27.709
114557.85+034321.2 1.0198 18.933 0.029 18.736 0.043 18.438 0.030 18.420 0.022 18.438 0.037  0.000 -1.681 -25.401
114557.87+322634.7 2.0514 19.659 0.037 19.488 0.022 19.296 0.019 19.085 0.021 18.926 0.056  0.000 -9.000 -26.375
114558.30+433636.2 1.7408 19.398 0.024 19.106 0.034 19.153 0.028 19.071 0.022 19.045 0.047  0.000 -9.000 -26.009
114558.37+485026.8 1.2585 19.189 0.025 19.223 0.022 18.888 0.032 19.016 0.036 19.162 0.047  0.000 -9.000 -25.294
114558.65+065116.4 1.2256 18.514 0.021 18.105 0.020 18.078 0.024 18.174 0.015 18.354 0.029  0.000 -9.000 -26.077
114559.00+040409.8 0.2736 18.608 0.023 18.631 0.026 18.507 0.017 18.588 0.018 18.112 0.032  0.000 -1.572 -22.057
114559.45+442350.6 1.2696 19.055 0.033 19.332 0.023 18.936 0.021 19.012 0.025 19.144 0.049 13.392 -9.000 -25.327
114559.54+461309.1 0.1544 16.964 0.015 17.009 0.051 16.919 0.037 16.408 0.019 16.537 0.035  0.000 -9.000 -22.898
114559.60+362313.7 0.4245 19.046 0.024 18.647 0.032 18.634 0.033 18.517 0.022 18.287 0.028  0.000 -9.000 -23.168
114559.81+464824.8 0.7653 18.627 0.021 18.286 0.022 18.300 0.024 18.522 0.018 18.322 0.027 16.124 -9.000 -24.599
114600.32+504734.0 1.0836 19.077 0.025 18.608 0.029 18.382 0.029 18.323 0.016 18.315 0.032 15.811 -9.000 -25.628
114600.36-033707.8 0.5503 18.929 0.028 18.653 0.025 18.734 0.026 18.608 0.034 18.765 0.042  0.000 -9.000 -23.722
114602.31+331943.5 1.0614 19.000 0.027 18.954 0.020 18.738 0.021 18.786 0.020 18.866 0.043  0.000 -9.000 -25.120
114602.65+544800.4 1.8245 19.008 0.032 18.858 0.017 18.790 0.015 18.550 0.019 18.532 0.040  0.000 -9.000 -26.627
114603.39+393141.7 2.0682 20.531 0.052 20.209 0.022 20.054 0.021 19.857 0.026 19.628 0.067  0.000 -9.000 -25.623
114603.92+083720.5 1.2601 19.518 0.037 19.389 0.033 19.158 0.029 19.131 0.032 19.263 0.053  0.000 -9.000 -25.188
114605.32+022438.4 0.9631 18.453 0.028 18.319 0.021 18.179 0.016 18.290 0.017 18.228 0.050  0.000 -9.000 -25.401
114606.51+040737.5 1.5727 19.494 0.038 19.098 0.027 19.020 0.032 18.825 0.032 18.787 0.049  0.000 -9.000 -26.027
114608.37+395812.0 1.0941 20.446 0.053 20.417 0.033 20.145 0.029 20.110 0.032 20.695 0.196  0.000 -9.000 -23.863
114608.56+650105.7 2.0482 19.467 0.035 19.394 0.031 19.294 0.022 19.161 0.020 18.928 0.049 -1.000 -9.000 -26.288
114609.11+131038.7 1.4462 18.732 0.020 18.750 0.017 18.425 0.018 18.299 0.018 18.285 0.031  0.000 -9.000 -26.379
114609.26+352427.3 0.3221 19.378 0.027 19.209 0.017 18.666 0.020 18.549 0.022 18.277 0.027  0.000 -9.000 -22.473
114609.83+121237.0 0.7764 19.107 0.029 18.794 0.021 18.668 0.016 18.837 0.020 18.629 0.043  0.000 -1.614 -24.333
114612.09+002105.1 1.2271 19.083 0.021 18.978 0.016 18.741 0.016 18.768 0.016 18.923 0.044  0.000 -9.000 -25.515
114612.20+031926.7 1.1744 19.115 0.029 18.945 0.024 18.651 0.013 18.663 0.017 18.808 0.044  0.000 -9.000 -25.498
114612.65+402922.9 0.8988 19.173 0.028 18.960 0.023 18.761 0.021 18.828 0.023 18.730 0.033  0.000 -9.000 -24.669
114612.88+124233.9 2.2588 19.840 0.047 19.156 0.023 19.122 0.020 19.056 0.023 18.830 0.052  0.000 -9.000 -26.646
114613.41+502432.1 1.6236 19.593 0.030 19.246 0.019 19.197 0.014 18.895 0.023 18.965 0.036  0.000 -9.000 -26.016
114614.47+441102.1 1.5542 18.767 0.023 18.578 0.020 18.573 0.019 18.417 0.029 18.523 0.032  0.000 -9.000 -26.400
114616.03+575729.4 1.5986 20.469 0.065 20.297 0.045 20.217 0.041 20.112 0.042 19.997 0.108 15.031 -9.000 -24.754
114616.10+564518.1 1.0131 19.921 0.049 19.918 0.031 19.678 0.057 19.792 0.037 19.726 0.096  0.000 -9.000 -23.980
114616.14+370611.7 0.5377 19.840 0.037 19.393 0.017 19.431 0.019 19.149 0.021 19.082 0.045  0.000 -9.000 -23.108
114616.35+115757.4 1.1873 18.685 0.021 18.667 0.022 18.339 0.017 18.283 0.020 18.376 0.036  0.000 -9.000 -25.916
114617.37+574119.6 0.6427 19.603 0.039 19.255 0.026 19.333 0.025 19.134 0.022 19.089 0.056  0.000 -9.000 -23.543
114618.51+101527.7 1.2416 17.701 0.019 17.449 0.022 17.228 0.023 17.204 0.018 17.292 0.023  0.000 -9.000 -27.125
114618.54+371407.4 1.3819 18.913 0.022 18.498 0.023 18.380 0.022 18.284 0.024 18.261 0.036  0.000 -9.000 -26.253
114618.98+075720.9 1.1792 19.471 0.029 19.321 0.018 19.012 0.020 18.986 0.019 18.918 0.039  0.000 -9.000 -25.180
