SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000442.03+003021.0 1.7682 20.781 0.081 20.394 0.031 20.400 0.031 19.992 0.040 19.783 0.094  0.000 -9.000 -25.219
000442.18+000023.3 1.0077 19.544 0.041 19.265 0.030 18.958 0.023 19.100 0.025 19.142 0.068 14.868 -9.000 -24.719
000444.23+010036.4 1.4297 20.168 0.060 20.141 0.029 19.849 0.024 19.728 0.034 20.090 0.196  0.000 -9.000 -24.920
000445.71+002245.0 0.4966 19.905 0.045 19.451 0.020 19.417 0.019 19.212 0.024 19.040 0.052  0.000 -9.000 -22.920
000446.18-000313.6 1.6027 20.828 0.077 20.417 0.031 20.256 0.036 20.112 0.036 20.127 0.107  0.000 -9.000 -24.812
000447.79-104855.2 0.8845 19.542 0.037 19.046 0.054 18.983 0.018 19.035 0.018 18.937 0.052  0.000 -9.000 -24.470
000448.08-002321.7 1.7257 19.894 0.046 19.757 0.022 19.763 0.022 19.463 0.029 19.495 0.079  0.000 -9.000 -25.620
000448.40-100153.5 0.8884 19.693 0.043 19.181 0.023 19.137 0.019 19.229 0.026 19.028 0.060  0.000 -9.000 -24.283
000451.78+011239.9 1.5513 20.500 0.063 20.412 0.028 20.158 0.039 19.860 0.034 19.846 0.095  0.000 -9.000 -24.971
000451.86-001203.7 1.0278 19.254 0.037 19.229 0.025 19.043 0.021 19.143 0.022 19.113 0.052  0.000 -9.000 -24.711
000453.25-003531.0 1.5709 20.749 0.086 20.555 0.039 20.472 0.036 20.220 0.052 20.231 0.121  0.000 -9.000 -24.651
000454.57-104230.1 1.1279 19.231 0.033 18.771 0.054 18.413 0.016 18.442 0.014 18.315 0.037  0.000 -9.000 -25.651
000455.44-110637.9 1.1183 19.129 0.025 18.882 0.022 18.501 0.021 18.586 0.019 18.529 0.036  0.000 -9.000 -25.478
000456.17+000645.5 1.0412 20.705 0.083 20.256 0.035 19.813 0.027 19.688 0.031 19.726 0.105  0.000 -9.000 -24.194
000457.90+002534.6 1.7023 20.870 0.085 20.690 0.035 20.581 0.033 20.273 0.047 20.486 0.163  0.000 -9.000 -24.861
000458.61+005457.5 1.2084 20.628 0.083 20.457 0.032 20.214 0.028 20.099 0.042 20.331 0.166  0.000 -9.000 -24.146
000459.58+160225.0 1.1480 19.541 0.034 19.321 0.024 19.097 0.018 19.071 0.022 19.030 0.055 -1.000 -9.000 -25.073
000500.42-003348.2 2.1733 19.188 0.041 18.936 0.032 18.744 0.023 18.590 0.024 18.353 0.031  0.000 -9.000 -27.035
000500.54+010220.8 2.1189 18.634 0.027 18.365 0.022 18.252 0.015 18.162 0.021 18.043 0.036  0.000 -9.000 -27.393
000500.84+010303.4 1.6292 19.441 0.033 19.168 0.021 19.049 0.032 18.760 0.019 18.610 0.037  0.000 -9.000 -26.187
000505.45-000210.8 1.8281 20.502 0.062 20.238 0.029 20.164 0.029 19.822 0.029 19.820 0.086  0.000 -9.000 -25.408
000507.05-101008.7 1.2954 19.215 0.033 19.323 0.023 18.897 0.018 18.879 0.024 18.937 0.057 11.611 -9.000 -25.544
000508.37+010806.4 1.3094 20.556 0.064 20.565 0.029 20.149 0.039 20.060 0.038 20.116 0.118  0.000 -9.000 -24.370
000508.85+002608.3 0.6686 20.633 0.079 19.943 0.064 19.862 0.132 19.841 0.185 19.746 0.245  0.000 -9.000 -23.064
000510.83-092534.9 1.8665 19.447 0.031 19.589 0.025 19.664 0.035 19.125 0.023 19.107 0.055  0.000 -9.000 -26.159
000510.88-091400.0 1.5438 19.634 0.044 19.308 0.026 19.115 0.027 18.922 0.023 18.907 0.051  0.000 -9.000 -25.927
000512.11+001313.2 1.2745 20.331 0.055 20.145 0.025 19.838 0.023 19.659 0.029 19.604 0.087  0.000 -9.000 -24.707
000512.18+000802.9 1.1208 20.980 0.111 20.811 0.042 20.379 0.035 20.321 0.044 20.280 0.170  0.000 -9.000 -23.734
000515.93-003730.7 0.4764 21.197 0.118 20.847 0.042 20.456 0.034 19.900 0.033 19.722 0.082  0.000 -9.000 -22.099
000519.39+144422.6 0.8582 18.476 0.023 18.134 0.016 17.903 0.015 17.875 0.018 17.683 0.028 -1.000 -9.000 -25.619
000520.99-001948.3 1.0423 20.548 0.070 20.546 0.033 20.245 0.027 20.207 0.038 20.031 0.122  0.000 -9.000 -23.684
000524.82-084502.8 1.0674 18.919 0.031 18.807 0.019 18.620 0.021 18.681 0.024 18.674 0.064  0.000 -9.000 -25.273
000525.12+001745.2 1.0285 19.745 0.037 19.613 0.023 19.476 0.020 19.511 0.028 19.365 0.073  0.000 -9.000 -24.383
000527.52-000556.2 0.6125 20.098 0.046 19.722 0.025 19.784 0.031 19.485 0.023 19.541 0.069  0.000 -9.000 -23.121
000529.13-005001.6 2.1150 20.152 0.058 20.088 0.032 20.001 0.035 19.943 0.039 19.935 0.113  0.000 -9.000 -25.615
000530.14-002356.2 1.0605 20.862 0.088 20.514 0.032 20.077 0.024 20.077 0.035 19.887 0.109  0.000 -9.000 -23.861
000530.66+010233.3 0.6341 19.495 0.046 19.364 0.026 19.351 0.021 19.275 0.032 19.262 0.071  0.000 -9.000 -23.409
000531.06+000951.0 0.9406 19.662 0.041 19.242 0.022 18.895 0.018 18.845 0.030 18.778 0.054  0.000 -9.000 -24.796
000531.41+001455.9 0.9916 21.118 0.095 20.536 0.025 19.985 0.029 19.842 0.036 19.494 0.079  0.000 -9.000 -23.941
000535.23+000021.4 0.7358 21.049 0.114 20.655 0.033 20.575 0.035 20.507 0.053 20.034 0.150  0.000 -9.000 -22.544
